neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedrooms,beds,bath
South Shore,41.76302,-87.57186,Private room,40,32,59,0.6,8,169,0,4.56,1,1,1
West Town,41.8905,-87.68672,Entire home/apt,157,32,124,1.18,1,60,15,4.76,2,2,1
Irving Park,41.95998186072804,-87.73006782293396,Private room,37,32,0,,1,330,0,New,1,1,1
South Shore,41.76257,-87.57225,Private room,28,32,36,0.39,8,294,1,4.83,1,1,1
Near South Side,41.85487,-87.62024,Entire home/apt,200,140,14,0.13,74,359,0,4.69,2,2,2
West Ridge,42.01653,-87.68788,Shared room,29,1,109,1.03,16,170,9,4.72,1,1,2
Logan Square,41.92693,-87.71266,Entire home/apt,500,32,38,0.38,1,0,0,4.95,3,3,3.5
Grand Boulevard,41.81961,-87.61324,Entire home/apt,282,32,4,0.04,2,347,0,4.0,3,3,3.5
Uptown,41.9693,-87.65918,Private room,92,32,191,1.94,1,313,25,4.94,1,1,1
Logan Square,41.92118,-87.68678,Private room,82,32,273,2.36,2,45,28,4.65,1,1,1
West Town,41.89821,-87.6572,Entire home/apt,295,2,201,1.74,2,322,29,4.79,3,4,2
Near North Side,41.90487,-87.62747,Entire home/apt,259,32,96,0.92,1,173,0,4.60,2,3,1
West Ridge,41.98658,-87.69528,Entire home/apt,143,32,80,0.81,1,260,0,4.78,3,4,1.5
Lake View,41.95518,-87.66999,Private room,100,3,34,0.34,1,264,0,5.0,1,1,1
Lake View,41.93338,-87.63913,Private room,75,1,148,1.34,1,236,11,4.81,1,1,1
South Lawndale,41.85253,-87.69803,Private room,48,32,27,0.29,8,45,7,4.93,1,1,1
Humboldt Park,41.88849,-87.70648,Entire home/apt,101,1,536,4.67,7,342,36,4.51,1,3,1
Irving Park,41.96114,-87.70514,Private room,50,25,22,0.21,1,22,4,4.86,1,1,1
South Lawndale,41.8544,-87.69845,Private room,51,3,22,0.24,8,53,2,4.82,1,1,1
