neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedrooms,beds,bath
West Town,41.909867,-87.67715799999999,Entire home/apt,275,32,0,,655,0,0,0,3,3,2
Lincoln Park,41.93168971014734,-87.65909262371066,Entire home/apt,145,1,51,1.82,51,324,20,4.37,2,2,1
Near West Side,41.87232,-87.65125,Entire home/apt,212,4,44,1.47,28,155,15,4.64,2,2,1
Portage Park,41.96718,-87.76845,Entire home/apt,75,32,3,0.1,1,42,0,4.0,3,5,1
Near West Side,41.86769,-87.65726,Entire home/apt,181,4,52,1.7,28,148,22,4.63,3,3,2
Hyde Park,41.79491,-87.58446,Entire home/apt,128,1,45,1.49,51,318,13,4.27,2,2,2
Lower West Side,41.85524515962906,-87.64679417733798,Entire home/apt,107,32,0,,1,305,0,New,2,2,1
West Town,41.90656,-87.6867,Entire home/apt,55,32,0,,2,0,0,0,2,2,1
Loop,41.88624,-87.63543,Entire home/apt,297,32,70,2.36,2,60,3,4.61,3,3,2
Near North Side,41.90276,-87.633,Entire home/apt,115,32,11,0.37,5,300,2,4.82,1,1,1
Lake View,41.9451758,-87.6558201,Entire home/apt,244,32,0,,655,365,0,0,2,2,1
Irving Park,41.94333,-87.73052,Entire home/apt,114,3,55,2.22,1,311,24,4.85,1,1,1
Lake View,41.94776,-87.66044,Entire home/apt,957,2,133,4.96,15,116,52,4.86,5,5,2.5
Loop,41.86965,-87.62743,Entire home/apt,125,32,1,0.59,1,39,1,0,1,1,1
Near West Side,41.87211,-87.65308,Private room,76,3,38,1.76,28,88,24,4.82,1,1,1.5
Near West Side,41.88345,-87.64352,Entire home/apt,253,4,6,0.21,3,95,4,4.33,0,1,1
Lake View,41.94714,-87.653389,Entire home/apt,221,1,80,2.56,2,203,23,4.64,2,2,1
Near North Side,41.9089458,-87.6504842,Entire home/apt,167,32,2,0.07,655,307,0,0,0,1,1
Woodlawn,41.78149,-87.6043,Entire home/apt,159,2,86,2.77,1,154,33,4.81,4,4,1
Lower West Side,41.85685,-87.667717,Private room,71,2,15,1.14,1,121,10,5.0,1,1,1
Near North Side,41.9089458,-87.6504842,Entire home/apt,194,32,0,,655,187,0,0,0,1,1
South Shore,41.76578,-87.58799,Entire home/apt,120,2,72,2.77,1,315,29,4.92,2,2,1
East Garfield Park,41.88645,-87.71073,Entire home/apt,184,2,62,2.0,1,89,15,4.68,2,4,1
Lake View,41.9425,-87.6498,Entire home/apt,373,1,123,3.96,1,155,47,4.77,3,4,2
Irving Park,41.95694,-87.73084,Entire home/apt,225,2,15,0.49,1,76,2,4.87,2,3,1
Edgewater,41.98024,-87.65812,Private room,300,60,0,,3,0,0,0,1,2,1
Rogers Park,42.01001,-87.68157,Entire home/apt,106,2,86,2.95,1,259,39,4.95,1,2,1
Near West Side,41.87023,-87.65157,Private room,90,4,43,1.52,28,137,18,4.58,1,1,1.5
Logan Square,41.91483,-87.68923,Entire home/apt,545,32,34,1.39,1,344,12,5.0,4,6,3
Lake View,41.93868,-87.65362,Entire home/apt,105,32,5,0.2,1,102,2,5.0,0,1,1
Near West Side,41.86987,-87.65718,Entire home/apt,190,4,38,1.23,28,136,16,4.68,3,3,1
Douglas,41.83347,-87.61779,Private room,68,2,42,1.38,7,168,21,4.79,1,1,1.5
Near North Side,41.90705,-87.63306,Entire home/apt,999,32,5,0.18,12,70,0,4.80,4,5,3
Near North Side,41.89268,-87.62837,Entire home/apt,200,32,0,,1,322,0,0,1,1,1
Loop,41.87077,-87.62994,Entire home/apt,238,2,150,4.81,18,274,53,4.82,1,3,1
Loop,41.8695,-87.63214,Entire home/apt,246,2,161,5.29,18,268,77,4.70,1,2,1
Loop,41.8711,-87.63049,Entire home/apt,230,2,20,0.64,18,280,14,4.60,1,2,1
West Town,41.8963074,-87.666343,Entire home/apt,295,32,1,0.07,655,365,0,0,3,3,2
Rogers Park,42.00933,-87.67828,Entire home/apt,287,2,70,2.8,1,304,33,5.0,3,4,2
East Garfield Park,41.88424,-87.69638,Private room,50,32,0,,29,365,0,0,1,1,1
West Town,41.90388,-87.68848,Entire home/apt,101,32,0,,1,84,0,0,2,0,1
Near West Side,41.88257,-87.6837,Private room,60,32,1,0.05,22,243,0,0,1,2,1
Lake View,41.94174,-87.64841,Entire home/apt,332,2,67,2.68,1,243,28,5.0,2,2,1
Near West Side,41.8805,-87.68287,Private room,50,32,0,,22,323,0,0,1,1,1
Loop,41.8711,-87.63057,Entire home/apt,341,2,303,9.72,18,287,78,4.80,2,4,2
Loop,41.87127,-87.63172,Entire home/apt,377,2,152,4.89,18,262,62,4.81,3,5,2
Loop,41.86943,-87.62987,Entire home/apt,218,2,74,2.37,18,278,21,4.65,0,1,1
Near West Side,41.88303,-87.68238,Private room,50,32,0,,22,365,0,0,1,1,1
Loop,41.8712,-87.63032,Entire home/apt,183,2,190,6.08,18,278,65,4.75,1,2,1
Near West Side,41.88082,-87.68322,Private room,50,32,1,0.04,22,365,0,0,1,1,1
West Town,41.89478,-87.65269,Entire home/apt,208,32,0,,655,0,0,0,2,2,1
Lincoln Park,41.9304689,-87.6467995,Entire home/apt,203,32,1,0.03,655,175,0,0,2,2,1
Near West Side,41.88297,-87.6826,Private room,50,32,0,,22,365,0,0,1,1,1
Near North Side,41.89183,-87.62621,Entire home/apt,189,32,0,,1,0,0,0,2,2,2.5
Bridgeport,41.83469,-87.64365,Entire home/apt,150,32,3,0.1,1,0,0,5.0,2,3,2
Near West Side,41.88147,-87.68209,Private room,50,32,0,,22,365,0,0,1,1,1
Near West Side,41.88118,-87.6836,Private room,50,32,1,0.05,22,365,0,0,1,1,1
Near West Side,41.88166,-87.68178,Private room,50,32,0,,22,365,0,0,1,1,1
Near North Side,41.90369,-87.62778,Entire home/apt,117,1,102,3.7,1,284,49,4.90,1,1,1
Near West Side,41.88124,-87.68191,Private room,50,32,1,0.04,22,365,0,0,1,2,1
West Town,41.90245,-87.6908,Entire home/apt,437,2,63,2.13,1,219,26,4.63,5,5,3.5
Grand Boulevard,41.8023,-87.61743,Entire home/apt,170,2,48,2.47,1,53,29,4.88,2,3,2
Albany Park,41.96362,-87.69931,Entire home/apt,152,2,140,4.75,1,234,55,4.91,1,2,1
Lake View,41.945072,-87.648926,Private room,87,1,263,8.93,10,47,104,4.87,1,1,1
Logan Square,41.91747,-87.72312,Entire home/apt,302,1,74,2.38,1,354,22,4.95,3,3,1
Near North Side,41.89439,-87.62719,Entire home/apt,85,32,3,0.15,19,51,1,4.33,1,1,1
Kenwood,41.80427,-87.58428,Entire home/apt,223,32,1,0.03,24,243,0,0,1,1,1
Near West Side,41.86943,-87.65618,Private room,48,32,1,0.03,1,0,0,0,1,1,2
Near North Side,41.90738,-87.64833,Entire home/apt,867,3,16,0.54,3,301,7,5.0,4,12,4
Lake View,41.94486,-87.67059,Entire home/apt,87,1,56,2.13,8,156,29,4.75,1,1,1
South Shore,41.77012,-87.57767,Entire home/apt,653,32,13,0.47,1,365,0,5.0,5,8,3.5
Uptown,41.9733,-87.65292,Entire home/apt,77,32,2,0.08,1,365,0,0,0,1,1
East Garfield Park,41.87719,-87.70246,Private room,60,32,6,0.22,33,168,0,4.33,1,1,2
Lake View,41.94327,-87.67001,Entire home/apt,65,1,79,3.07,8,161,36,4.90,1,1,1
Grand Boulevard,41.81761,-87.61904,Entire home/apt,176,1,63,2.32,1,137,30,4.62,3,4,2
Auburn Gresham,41.73130539204535,-87.6423223796979,Entire home/apt,268,2,11,2.62,1,347,11,4.91,4,4,2
Lake View,41.9444,-87.6453,Entire home/apt,67,1,56,2.11,8,155,39,4.79,1,1,1
Lincoln Park,41.91768,-87.65261,Entire home/apt,588,2,40,1.66,1,237,14,4.98,2,5,3
Lake View,41.94996,-87.65753,Entire home/apt,82,1,73,2.84,8,148,42,4.84,2,2,1
Lake View,41.93855,-87.66497,Entire home/apt,101,32,5,0.17,74,316,2,5.0,1,1,1
Avondale,41.93279,-87.71163,Entire home/apt,208,2,60,2.79,1,66,32,4.95,2,3,1
Lincoln Park,41.93023,-87.66241,Entire home/apt,405,32,62,2.43,1,190,24,4.37,8,9,4.5
Lake View,41.94874,-87.64785,Entire home/apt,56,32,4,0.14,1,0,0,3.0,0,1,1
Lake View,41.9493083,-87.663776,Entire home/apt,290,32,1,0.03,655,357,0,0,2,2,2
South Shore,41.76627,-87.58076,Entire home/apt,179,32,0,,1,0,0,0,2,1,1
Logan Square,41.91586,-87.67329,Entire home/apt,133,2,29,0.93,2,93,7,4.62,2,3,1
Douglas,41.83269,-87.61029,Private room,104,1,74,2.88,5,257,32,4.96,1,1,1
Douglas,41.83289,-87.61055,Private room,129,1,56,1.9,5,255,13,4.91,1,1,1
East Garfield Park,41.87737,-87.71382,Private room,56,3,56,2.01,6,69,23,4.82,1,1,1
West Town,41.90294,-87.67646,Entire home/apt,208,2,82,2.85,24,287,34,4.99,3,3,1
North Center,41.95231,-87.67748,Entire home/apt,59,1,116,4.47,8,175,75,4.80,1,1,1
Dunning,41.93883,-87.78852,Private room,70,1,54,1.75,6,303,23,4.98,1,1,1
Douglas,41.83346,-87.60964,Private room,113,1,83,2.82,5,250,27,4.96,1,1,1
North Center,41.95257,-87.67756,Entire home/apt,59,1,145,5.53,8,171,82,4.84,1,1,1
Lake View,41.9517,-87.65651,Entire home/apt,82,1,63,2.4,8,134,42,4.86,2,3,1
Austin,41.89973,-87.75925,Entire home/apt,125,32,7,0.24,1,180,0,4.29,2,3,1
East Garfield Park,41.88324,-87.69476,Private room,50,32,1,0.04,29,365,0,0,1,1,1
South Shore,41.76047,-87.59092,Entire home/apt,116,32,77,2.57,1,142,26,4.62,3,3,1
Near South Side,41.8670646,-87.6231114,Entire home/apt,230,32,0,,655,0,0,0,1,1,1
Near North Side,41.8945286,-87.63340520000003,Entire home/apt,258,32,0,,655,300,0,0,1,1,1
Avondale,41.93435,-87.70474,Entire home/apt,150,30,0,,2,74,0,0,2,2,2
Douglas,41.82971,-87.62657,Private room,37,32,9,0.31,1,0,0,4.56,1,1,1
Douglas,41.83307,-87.61,Private room,114,1,47,1.65,5,262,21,4.96,1,1,1
Woodlawn,41.77806,-87.61441,Entire home/apt,118,2,57,2.02,1,144,31,4.96,3,3,1
Dunning,41.95249,-87.80522,Entire home/apt,180,2,30,1.09,1,335,6,4.83,2,2,2
Garfield Ridge,41.7991042415377,-87.77937042273656,Entire home/apt,152,5,2,2.0,1,142,2,New,4,3,2
Englewood,41.78866,-87.63274,Private room,35,3,15,0.6,7,77,10,4.87,1,2,1
Loop,41.88735,-87.63402,Entire home/apt,250,32,38,1.29,1,88,0,4.87,1,1,1
Near West Side,41.88074,-87.6827,Private room,50,32,0,,22,353,0,0,1,1,1
West Town,41.89851,-87.67059,Entire home/apt,599,2,72,2.51,2,311,16,4.85,4,4,4
Near South Side,41.8670646,-87.6231114,Entire home/apt,336,32,1,0.15,655,365,1,0,2,2,2
Near North Side,41.89951,-87.62179,Entire home/apt,1099,2,18,0.67,12,142,12,4.83,4,4,4
Logan Square,41.91749,-87.69184,Entire home/apt,175,2,38,1.33,2,111,17,4.92,2,3,1.5
Near West Side,41.88154,-87.68296,Private room,50,32,1,0.05,22,347,0,0,1,2,1
Near South Side,41.8670646,-87.6231114,Entire home/apt,138,32,1,0.06,655,326,0,0,0,1,1
Near West Side,41.88207,-87.68071,Private room,50,32,1,0.04,22,303,0,0,1,1,1
Lake View,41.944618,-87.652596,Entire home/apt,281,2,90,3.67,4,302,36,4.97,2,2,1
Near West Side,41.88044,-87.681,Private room,50,32,2,0.09,22,365,0,0,1,1,1
Avondale,41.934971,-87.716469,Entire home/apt,485,32,46,1.6,2,0,0,5.0,3,3,2
Humboldt Park,41.88966,-87.71567,Private room,47,32,5,0.2,3,121,2,5.0,1,1,1
Uptown,41.96567,-87.67238,Entire home/apt,255,2,95,3.34,1,42,29,4.93,2,3,1
West Town,41.89681,-87.67606,Entire home/apt,219,1,22,0.78,1,70,5,4.91,1,2,1
Rogers Park,42.01891,-87.66585,Entire home/apt,90,32,73,2.63,2,332,28,4.44,2,2,1
Near North Side,41.89621,-87.62632,Entire home/apt,117,32,8,0.3,1,117,2,4.88,1,0,1
Irving Park,41.94428,-87.72801,Entire home/apt,164,3,59,2.22,1,322,21,4.97,3,4,1
West Town,41.89362,-87.660095,Entire home/apt,313,3,87,3.32,1,147,35,4.84,3,4,1
North Lawndale,41.85554,-87.70335,Entire home/apt,121,3,66,2.32,2,0,23,4.83,2,2,1
South Lawndale,41.84408,-87.72292,Entire home/apt,202,3,46,2.73,1,143,29,4.61,5,9,2
Lake View,41.93825,-87.64123,Entire home/apt,567,2,116,4.13,5,253,52,4.94,4,10,2
Brighton Park,41.82328,-87.69663,Private room,47,7,15,0.72,2,283,9,4.07,1,1,1
West Town,41.90147,-87.67569,Entire home/apt,128,3,90,3.35,1,290,45,4.97,1,1,1
Greater Grand Crossing,41.76019,-87.60024,Entire home/apt,150,32,1,0.05,3,363,0,0,2,3,1
Loop,41.88462,-87.62491,Entire home/apt,131,32,1,0.05,1,0,0,0,2,1,2.5
Loop,41.88442,-87.62465,Entire home/apt,557,2,155,5.75,23,150,71,4.74,3,4,2
South Shore,41.76009,-87.5544,Entire home/apt,192,32,2,0.07,24,365,0,0,1,1,1
Loop,41.8852,-87.62673,Entire home/apt,362,2,145,5.38,23,164,62,4.87,2,3,2
Loop,41.88666,-87.6263,Entire home/apt,435,2,134,4.98,23,255,61,4.67,3,4,2
Lake View,41.94999,-87.67332,Entire home/apt,215,32,6,0.26,2,182,0,4.67,2,2,1
West Town,41.90603,-87.6867,Private room,65,32,0,,1,0,0,0,1,1,1
Lincoln Park,41.92562,-87.65223,Entire home/apt,329,3,47,1.65,2,312,16,4.83,2,2,1
West Town,41.89728,-87.65601,Entire home/apt,95,2,105,4.33,13,35,39,4.89,1,2,1
Lake View,41.948772,-87.658844,Entire home/apt,199,32,25,1.04,8,217,4,4.84,3,4,1
Near South Side,41.8670646,-87.6231114,Entire home/apt,251,32,0,,655,364,0,0,1,1,1
Lake View,41.94492,-87.65675,Entire home/apt,183,3,124,4.62,17,281,49,4.81,2,2,2
Near South Side,41.8670646,-87.6231114,Entire home/apt,431,32,0,,655,0,0,0,2,2,1
Albany Park,41.97071,-87.71236,Private room,79,2,21,0.97,3,137,3,5.0,1,1,1
Loop,41.87432,-87.62371,Private room,336,1,90,3.26,5,353,36,4.43,2,3,1
Logan Square,41.91888,-87.70954,Entire home/apt,128,2,71,2.65,1,114,29,4.99,1,1,1
Loop,41.87599,-87.62539,Private room,359,1,6,0.28,5,319,4,4.67,1,1,1
Loop,41.87596,-87.6251,Private room,225,1,222,8.06,5,357,161,4.33,1,1,1
Kenwood,41.80734,-87.60564,Entire home/apt,193,32,9,0.34,24,365,2,5.0,1,1,1
Montclare,41.92539,-87.79371,Entire home/apt,62,32,1,0.27,5,47,1,0,1,1,1
Uptown,41.95532,-87.65588,Private room,104,2,61,2.4,2,73,31,4.93,1,1,1
Near North Side,41.90963,-87.63647,Entire home/apt,117,1,126,4.51,1,321,44,4.83,2,3,1
North Center,41.94186,-87.68001,Entire home/apt,230,32,1,0.06,23,291,0,0,4,4,2
Near North Side,41.89678629999999,-87.6317246,Entire home/apt,259,32,0,,655,60,0,0,1,1,1
West Town,41.90164,-87.67239,Entire home/apt,646,3,52,1.98,1,187,25,4.67,4,4,2.5
Near North Side,41.89678629999999,-87.6317246,Entire home/apt,164,32,1,0.07,655,320,0,0,1,1,1
North Center,41.94161,-87.67977,Entire home/apt,184,32,3,0.12,23,311,1,5.0,3,4,3
Lake View,41.945072,-87.648926,Private room,147,1,248,9.31,10,52,115,4.79,1,0,1
West Town,41.89479,-87.69336,Entire home/apt,185,3,61,2.15,2,82,20,4.75,2,3,1
Near South Side,41.8670646,-87.6231114,Entire home/apt,173,32,0,,655,320,0,0,1,1,1
Lower West Side,41.85656,-87.66483,Entire home/apt,151,2,85,3.51,1,47,35,4.85,2,2,1
Near South Side,41.8670646,-87.6231114,Entire home/apt,283,32,1,0.05,655,214,0,0,1,1,1
North Center,41.94026,-87.68128,Entire home/apt,184,32,3,0.14,23,345,1,4.67,2,3,1
Douglas,41.82725,-87.61862,Entire home/apt,150,3,31,1.75,2,39,23,4.81,1,1,1
Calumet Heights,41.72829,-87.57865,Shared room,27,2,19,0.72,23,51,5,4.79,1,1,3
Lake View,41.94341,-87.64636,Entire home/apt,100,1,19,0.69,1,0,6,4.58,0,2,1
Hermosa,41.91823,-87.73634,Entire home/apt,105,32,63,2.3,4,301,17,4.67,3,3,1
East Garfield Park,41.87626,-87.69622,Entire home/apt,112,2,113,5.19,3,281,60,4.85,3,3,1
Loop,41.86851,-87.62746,Entire home/apt,235,3,135,4.86,6,240,63,4.90,1,3,1
Loop,41.88582,-87.63054,Entire home/apt,350,32,0,,30,56,0,0,1,1,1
West Town,41.8995,-87.67231,Entire home/apt,224,2,87,4.32,2,71,59,4.93,2,2,2
Hermosa,41.91884,-87.73608,Private room,130,32,2,0.07,2,179,0,0,1,1,1
Woodlawn,41.78335,-87.59815,Entire home/apt,217,3,24,0.93,1,85,12,4.67,3,3,3
Woodlawn,41.78445,-87.6095,Entire home/apt,248,3,11,1.04,1,29,11,5.0,3,3,2
Near North Side,41.89729,-87.62242,Entire home/apt,308,2,94,3.6,25,23,38,4.82,2,3,2
Loop,41.87047,-87.62798,Entire home/apt,210,32,34,1.2,1,364,0,5.0,1,1,1
North Center,41.93781,-87.67684,Entire home/apt,155,32,6,0.22,2,0,0,5.0,2,2,2.5
Lincoln Park,41.93038,-87.64263,Entire home/apt,224,4,53,2.23,1,115,18,4.87,2,3,1.5
Lake View,41.94996,-87.65955,Entire home/apt,135,32,12,0.56,8,162,3,4.83,1,1,1
Loop,41.8857,-87.63257,Entire home/apt,401,32,0,,30,89,0,0,0,1,1
Near South Side,41.8670646,-87.6231114,Entire home/apt,419,32,0,,655,320,0,0,3,3,2.5
Near West Side,41.86017,-87.6618,Entire home/apt,825,32,0,,29,365,0,0,8,8,3
Armour Square,41.8491024981422,-87.63609634712014,Entire home/apt,329,2,1,1.0,16,242,1,New,4,5,2
North Center,41.93781,-87.67783,Entire home/apt,134,2,66,2.41,1,333,34,4.91,2,2,1
Loop,41.88436,-87.62632,Entire home/apt,700,32,2,0.09,30,88,1,0,1,1,1
Lincoln Square,41.97798,-87.68467,Entire home/apt,179,1,148,6.72,1,100,72,4.95,1,1,1
West Town,41.89097,-87.65714,Entire home/apt,77,5,5,0.67,1,0,5,5.0,1,1,1
Near West Side,41.8835,-87.66919,Entire home/apt,362,33,32,1.29,3,18,1,4.97,4,4,3
Grand Boulevard,41.80668,-87.61553,Entire home/apt,295,32,4,0.15,1,364,0,3.25,2,3,2
Albany Park,41.96143,-87.71974,Entire home/apt,213,3,19,1.45,2,166,15,4.79,2,2,2
Bridgeport,41.84616,-87.64165,Entire home/apt,176,2,18,1.44,3,342,17,4.89,3,6,1
Lincoln Square,41.97455,-87.67811,Private room,52,2,106,3.98,1,74,49,4.73,1,1,1
Irving Park,41.95522,-87.72003,Entire home/apt,197,2,42,1.56,2,348,15,4.74,2,5,1
Irving Park,41.94731,-87.72823,Entire home/apt,201,1,38,1.4,2,344,12,4.87,2,3,1
Near West Side,41.87928,-87.65092,Entire home/apt,75,32,1,0.04,1,0,0,0,1,1,1
Lake View,41.93967,-87.64038,Entire home/apt,136,32,1,0.05,1,0,0,0,1,1,1
Mckinley Park,41.8252,-87.67025,Entire home/apt,89,1,29,1.14,3,9,12,4.76,1,1,1
Near West Side,41.86087,-87.65671,Private room,80,32,0,,1,0,0,0,0,1,1
Near North Side,41.89678629999999,-87.6317246,Entire home/apt,156,32,1,0.05,655,318,0,0,1,1,1
Near North Side,41.89678629999999,-87.6317246,Entire home/apt,193,32,4,0.15,655,198,1,5.0,0,1,1
Logan Square,41.91468,-87.70439,Entire home/apt,218,2,1,0.17,24,325,1,0,2,2,2
Near North Side,41.8995,-87.62238,Entire home/apt,120,32,1,0.04,33,352,0,0,1,1,1
Logan Square,41.91404,-87.70622,Entire home/apt,102,2,71,2.55,24,337,28,4.86,1,2,1
Irving Park,41.94888,-87.70593,Entire home/apt,179,2,116,4.57,2,45,43,4.85,3,4,1
Near North Side,41.89678629999999,-87.6317246,Entire home/apt,213,32,1,0.12,655,228,1,0,0,1,1
West Town,41.90854,-87.6718,Entire home/apt,748,2,57,2.63,2,197,32,4.98,4,7,4
Near North Side,41.89525,-87.62664,Entire home/apt,110,32,3,0.11,3,52,1,5.0,1,1,1
Near North Side,41.88753,-87.6305,Entire home/apt,157,32,1,0.04,30,152,0,0,0,1,1
Lincoln Park,41.93099,-87.6531,Entire home/apt,342,3,60,2.56,1,130,31,4.83,4,5,3.5
Near North Side,41.89525,-87.62664,Entire home/apt,125,32,1,0.04,19,51,0,0,1,1,1
Dunning,41.94776,-87.81846,Entire home/apt,129,2,45,1.69,1,342,12,4.91,2,2,1
Near North Side,41.8894,-87.63945,Entire home/apt,255,32,1,0.04,30,89,0,0,1,1,1
Lincoln Park,41.92826,-87.64384,Entire home/apt,200,3,78,2.83,1,13,27,4.55,1,0,1.5
Near North Side,41.89132690429688,-87.6378402709961,Entire home/apt,255,32,0,,23,307,0,0,0,0,1
Uptown,41.95627,-87.64957,Entire home/apt,315,32,61,2.81,24,180,23,4.74,0,2,1
Lower West Side,41.85231,-87.68414,Entire home/apt,125,2,97,3.77,1,108,53,4.81,3,3,1
Uptown,41.95526,-87.6498,Entire home/apt,85,32,28,1.0,24,77,0,4.89,1,1,1
Humboldt Park,41.9125,-87.70413,Entire home/apt,114,28,2,0.08,1,34,1,0,2,2,2
Near North Side,41.89622,-87.63172,Entire home/apt,101,32,19,0.73,1,289,7,4.74,1,1,1
Lake View,41.94977,-87.65721,Entire home/apt,399,2,89,3.26,5,128,36,4.94,2,3,2
Near West Side,41.8836,-87.66934,Entire home/apt,386,2,26,1.07,3,26,24,4.96,4,4,3
Near North Side,41.89769,-87.63165,Entire home/apt,160,32,2,0.08,16,322,0,0,1,2,1
Near North Side,41.89132690429688,-87.6378402709961,Entire home/apt,330,32,4,0.18,23,307,1,5.0,1,1,1
Near South Side,41.8670646,-87.6231114,Entire home/apt,255,32,0,,655,75,0,0,1,1,1
Loop,41.88748,-87.61921,Entire home/apt,255,32,0,,16,334,0,0,2,3,2
West Town,41.90756,-87.68714,Entire home/apt,98,2,63,2.61,4,121,32,4.90,1,2,1
Near North Side,41.89132690429688,-87.6378402709961,Entire home/apt,333,32,0,,23,307,0,0,1,1,1
Loop,41.88628,-87.61911,Entire home/apt,169,32,1,0.11,16,356,1,0,1,2,1
Bridgeport,41.83284,-87.64926,Private room,54,3,47,1.79,4,44,22,4.64,1,1,1.5
Near North Side,41.89678629999999,-87.6317246,Entire home/apt,243,32,0,,655,300,0,0,1,1,1
Bridgeport,41.83259,-87.64961,Private room,49,3,51,1.99,4,48,27,4.84,1,1,1.5
Near North Side,41.89132690429688,-87.6378402709961,Entire home/apt,350,32,4,0.16,23,365,0,5.0,2,2,2
Douglas,41.82966,-87.61963,Entire home/apt,68,32,4,0.23,16,318,2,4.75,2,2,1
Near North Side,41.89678629999999,-87.6317246,Entire home/apt,255,32,0,,655,285,0,0,1,1,1
Lower West Side,41.85343,-87.67526,Entire home/apt,65,32,14,0.5,1,0,0,4.64,2,2,1
Lake View,41.94632,-87.65958,Entire home/apt,450,32,52,1.94,1,321,10,4.85,2,2,2
Near West Side,41.88059,-87.68277,Private room,50,32,0,,22,309,0,0,1,2,1
West Town,41.89394,-87.6677,Entire home/apt,180,1,83,3.11,1,119,21,4.47,2,2,1
Logan Square,41.918316,-87.702812,Entire home/apt,277,2,50,2.11,1,96,24,5.0,3,3,1
Lake View,41.94636,-87.662,Entire home/apt,130,3,59,2.79,6,190,39,4.90,1,3,1
Lincoln Park,41.92585,-87.65445,Entire home/apt,324,2,102,3.73,1,116,47,4.79,2,3,2
Near North Side,41.89525,-87.62664,Entire home/apt,193,32,8,0.36,3,209,3,5.0,2,2,1
Edgewater,41.98809,-87.66368,Entire home/apt,744,1,0,,6,181,0,0,2,2,2
Near North Side,41.89531,-87.63874,Entire home/apt,550,2,79,2.98,1,231,26,4.99,3,5,2
Edgewater,41.98789,-87.66369,Private room,156,1,27,1.1,6,332,3,4.81,1,1,1
Loop,41.88744,-87.63237,Entire home/apt,276,32,0,,30,89,0,0,1,1,1
Near North Side,41.89133,-87.63784,Entire home/apt,375,32,2,0.09,23,365,1,0,2,2,2
Near West Side,41.87522,-87.68886,Entire home/apt,187,2,93,3.52,1,332,39,4.95,2,3,1
Edgewater,41.98763,-87.66532,Private room,129,1,28,1.14,6,327,7,4.71,1,1,1
Lincoln Park,41.91183,-87.6352,Entire home/apt,113,5,50,1.89,1,7,26,4.96,1,1,1
Edgewater,41.98393,-87.67174,Private room,90,1,2,0.09,2,334,1,0,1,1,1
Edgewater,41.98781,-87.66588,Private room,177,1,15,0.63,6,352,2,5.0,1,1,1
Edgewater,41.98902,-87.66584,Private room,153,1,19,0.82,6,338,7,5.0,1,1,1
West Town,41.89012,-87.67764,Entire home/apt,175,2,61,2.38,24,326,37,4.87,3,4,1
Edgewater,41.98906,-87.66399,Private room,227,1,8,0.34,6,354,1,5.0,1,1,1
Near North Side,41.8973,-87.62633,Entire home/apt,139,1,58,2.18,51,344,28,4.55,0,1,1
Near North Side,41.89518,-87.62997,Entire home/apt,1500,32,0,,1,0,0,0,1,1,1
Hermosa,41.91975,-87.73593,Private room,100,32,4,0.16,2,179,0,4.50,1,1,1
Near North Side,41.89678629999999,-87.6317246,Entire home/apt,203,32,0,,655,289,0,0,0,1,1
Douglas,41.83466,-87.61152,Private room,120,1,92,3.37,5,253,30,4.92,1,1,1
Loop,41.88448,-87.62697,Entire home/apt,156,32,1,0.05,655,301,0,0,1,1,1
Loop,41.8851235,-87.62594589999999,Entire home/apt,216,32,1,0.09,655,46,1,0,1,1,1
West Town,41.90848,-87.67934,Entire home/apt,499,3,10,0.38,3,22,5,5.0,2,2,2
Logan Square,41.91522,-87.68453,Entire home/apt,161,5,12,0.93,2,221,11,4.75,2,2,1
Near West Side,41.88366,-87.66862,Entire home/apt,178,2,115,4.11,3,43,51,4.83,2,2,1
Near North Side,41.89019,-87.63874,Entire home/apt,680,32,0,,1,365,0,0,2,2,2.5
Logan Square,41.91659,-87.69865,Entire home/apt,95,5,45,1.74,1,0,10,5.0,2,2,1
Logan Square,41.92186,-87.70374,Entire home/apt,137,2,80,3.64,1,116,47,4.94,1,1,1
Lower West Side,41.84863,-87.67969,Entire home/apt,109,3,44,2.57,1,308,28,4.86,2,2,1
Near West Side,41.87839,-87.64755,Entire home/apt,205,32,0,,30,89,0,0,1,1,1
Near West Side,41.87973,-87.64584,Entire home/apt,199,32,0,,30,89,0,0,1,1,1
Uptown,41.95514,-87.65136,Entire home/apt,250,32,77,2.83,24,90,29,4.78,0,1,1
Near North Side,41.89678629999999,-87.6317246,Entire home/apt,161,32,1,0.09,655,323,1,0,1,1,1
Loop,41.88732,-87.63194,Entire home/apt,177,32,0,,30,46,0,0,0,1,1
Lincoln Park,41.92789,-87.66745,Entire home/apt,151,2,29,3.27,1,117,29,4.90,2,2,1
Near North Side,41.89678629999999,-87.6317246,Entire home/apt,333,32,0,,655,0,0,0,1,1,1
Bridgeport,41.8342,-87.65075,Private room,57,3,56,2.06,4,60,22,4.88,1,1,1.5
Near North Side,41.88968,-87.63914,Entire home/apt,230,32,0,,30,89,0,0,0,1,1
Kenwood,41.80693,-87.60622,Private room,65,32,28,1.01,6,352,0,4.86,1,1,2
Loop,41.88427,-87.62781,Entire home/apt,302,32,0,,30,89,0,0,1,1,1
